"","data_test.Respondent.ID","data_test.Product","predict_model_log_1"
"139",4438,"Deodorant B",0
"140",4439,"Deodorant B",0
"141",4440,"Deodorant B",1
"142",4441,"Deodorant B",0
"143",4442,"Deodorant B",0
"144",4443,"Deodorant B",0
"145",4444,"Deodorant B",0
"146",4445,"Deodorant B",0
"147",4446,"Deodorant B",0
"148",4447,"Deodorant B",0
"149",4448,"Deodorant B",1
"150",4449,"Deodorant B",0
"151",4450,"Deodorant B",1
"152",4451,"Deodorant B",0
"153",4452,"Deodorant B",0
"154",4453,"Deodorant B",1
"155",4454,"Deodorant B",0
"156",4455,"Deodorant B",0
"157",4456,"Deodorant B",0
"158",4457,"Deodorant B",1
"159",4458,"Deodorant B",0
"160",4459,"Deodorant B",0
"161",4460,"Deodorant B",1
"162",4461,"Deodorant B",0
"163",4462,"Deodorant B",0
"164",4463,"Deodorant B",1
"165",4464,"Deodorant B",0
"166",4465,"Deodorant B",0
"167",4466,"Deodorant B",0
"168",4467,"Deodorant B",0
"169",4468,"Deodorant B",0
"170",4469,"Deodorant B",0
"171",4470,"Deodorant B",0
"172",4471,"Deodorant B",0
"173",4472,"Deodorant B",0
"174",4473,"Deodorant B",0
"175",4474,"Deodorant B",1
"176",4475,"Deodorant B",0
"177",4476,"Deodorant B",1
"178",4477,"Deodorant B",0
"179",4478,"Deodorant B",0
"180",4479,"Deodorant B",0
"181",4480,"Deodorant B",0
"182",4481,"Deodorant B",0
"183",4482,"Deodorant B",0
"184",4483,"Deodorant B",1
"185",4484,"Deodorant B",1
"186",4485,"Deodorant B",1
"187",4486,"Deodorant B",1
"188",4487,"Deodorant B",0
"189",4488,"Deodorant B",0
"190",4489,"Deodorant B",0
"191",4490,"Deodorant B",0
"192",4491,"Deodorant B",1
"193",4492,"Deodorant B",1
"194",4493,"Deodorant B",0
"195",4494,"Deodorant B",0
"196",4495,"Deodorant B",0
"197",4496,"Deodorant B",0
"198",4497,"Deodorant B",0
"199",4498,"Deodorant B",0
"200",4499,"Deodorant B",0
"201",4500,"Deodorant B",0
"202",4501,"Deodorant B",0
"203",4502,"Deodorant B",0
"204",4503,"Deodorant B",0
"205",4504,"Deodorant B",0
"206",4505,"Deodorant B",0
"207",4506,"Deodorant B",0
"208",4507,"Deodorant B",1
"209",4508,"Deodorant B",0
"210",4509,"Deodorant B",1
"211",4510,"Deodorant B",0
"212",4511,"Deodorant B",0
"213",4512,"Deodorant B",1
"214",4513,"Deodorant B",0
"215",4514,"Deodorant B",1
"216",4515,"Deodorant B",0
"217",4516,"Deodorant B",0
"218",4517,"Deodorant B",0
"219",4518,"Deodorant B",0
"220",4519,"Deodorant B",0
"221",4520,"Deodorant B",0
"222",4521,"Deodorant B",0
"223",4522,"Deodorant B",1
"224",4523,"Deodorant B",0
"225",4524,"Deodorant B",0
"226",4525,"Deodorant B",0
"227",4526,"Deodorant B",0
"228",4527,"Deodorant B",0
"229",4528,"Deodorant B",1
"230",4529,"Deodorant B",0
"231",4530,"Deodorant B",1
"232",4531,"Deodorant B",0
"233",4532,"Deodorant B",0
"234",4533,"Deodorant B",0
"235",4534,"Deodorant B",0
"236",4535,"Deodorant B",0
"237",4536,"Deodorant B",0
"238",4537,"Deodorant B",0
"239",4538,"Deodorant B",1
"240",4539,"Deodorant B",1
"241",4540,"Deodorant B",1
"242",4541,"Deodorant B",1
"243",4542,"Deodorant B",0
"244",4543,"Deodorant B",0
"245",4544,"Deodorant B",0
"246",4545,"Deodorant B",0
"247",4546,"Deodorant B",0
"248",4547,"Deodorant B",1
"249",4548,"Deodorant B",1
"250",4549,"Deodorant B",0
"251",4550,"Deodorant B",0
"252",4551,"Deodorant B",0
"253",4552,"Deodorant B",1
"254",4553,"Deodorant B",1
"255",4554,"Deodorant B",1
"256",4555,"Deodorant B",0
"257",4556,"Deodorant B",0
"258",4557,"Deodorant B",0
"259",4558,"Deodorant B",0
"260",4559,"Deodorant B",0
"261",4560,"Deodorant B",0
"262",4561,"Deodorant B",0
"263",4562,"Deodorant B",0
"264",4563,"Deodorant B",0
"265",4564,"Deodorant B",0
"266",4565,"Deodorant B",1
"267",4566,"Deodorant B",0
"268",4567,"Deodorant B",0
"269",4568,"Deodorant B",0
"270",4569,"Deodorant B",1
"271",4570,"Deodorant B",0
"272",4571,"Deodorant B",0
"273",4572,"Deodorant B",0
"274",4573,"Deodorant B",0
"275",4574,"Deodorant B",0
"276",4575,"Deodorant B",0
"277",4576,"Deodorant B",1
"278",4577,"Deodorant B",1
"279",4578,"Deodorant B",0
"280",4579,"Deodorant B",0
"281",4580,"Deodorant B",1
"282",4581,"Deodorant B",0
"283",4582,"Deodorant B",1
"284",4583,"Deodorant B",0
"285",4584,"Deodorant B",0
"286",4585,"Deodorant B",0
"287",4586,"Deodorant B",0
"288",4587,"Deodorant B",0
"289",4588,"Deodorant B",0
"290",4589,"Deodorant B",0
"291",4590,"Deodorant B",0
"292",4591,"Deodorant B",0
"293",4592,"Deodorant B",0
"294",4593,"Deodorant B",1
"295",4594,"Deodorant B",0
"296",4595,"Deodorant B",0
"297",4596,"Deodorant B",0
"298",4597,"Deodorant B",0
"299",4598,"Deodorant B",0
"300",4599,"Deodorant B",0
"301",4600,"Deodorant B",0
"302",4601,"Deodorant B",0
"303",4602,"Deodorant B",0
"304",4603,"Deodorant B",0
"305",4604,"Deodorant B",0
"306",4605,"Deodorant B",1
"307",4606,"Deodorant B",0
"308",4607,"Deodorant B",0
"309",4608,"Deodorant B",0
"310",4609,"Deodorant B",0
"311",4610,"Deodorant B",1
"312",4611,"Deodorant B",1
"313",4612,"Deodorant B",0
"314",4613,"Deodorant B",0
"315",4614,"Deodorant B",0
"316",4615,"Deodorant B",1
"317",4616,"Deodorant B",1
"318",4617,"Deodorant B",0
"319",4618,"Deodorant B",0
"320",4619,"Deodorant B",0
"321",4620,"Deodorant B",0
"322",4621,"Deodorant B",1
"323",4622,"Deodorant B",0
"324",4623,"Deodorant B",1
"325",4624,"Deodorant B",0
"326",4625,"Deodorant B",0
"327",4626,"Deodorant B",0
"328",4627,"Deodorant B",0
"329",4628,"Deodorant B",1
"330",4629,"Deodorant B",0
"331",4630,"Deodorant B",1
"332",4631,"Deodorant B",0
"333",4632,"Deodorant B",0
"334",4633,"Deodorant B",0
"335",4634,"Deodorant B",1
"336",4635,"Deodorant B",1
"337",4636,"Deodorant B",0
"338",4637,"Deodorant B",0
"339",4638,"Deodorant B",0
"340",4639,"Deodorant B",0
"341",4640,"Deodorant B",0
"342",4641,"Deodorant B",0
"343",4642,"Deodorant B",0
"344",4643,"Deodorant B",0
"345",4644,"Deodorant B",0
"346",4645,"Deodorant B",0
"347",4646,"Deodorant B",0
"348",4647,"Deodorant B",0
"349",4648,"Deodorant B",0
"350",4649,"Deodorant B",0
"351",4650,"Deodorant B",0
"352",4651,"Deodorant B",1
"353",4652,"Deodorant B",0
"354",4653,"Deodorant B",1
"355",4654,"Deodorant B",1
"356",4655,"Deodorant B",0
"357",4656,"Deodorant B",0
"358",4657,"Deodorant B",0
"359",4658,"Deodorant B",1
"360",4659,"Deodorant B",0
"361",4660,"Deodorant B",0
"362",4661,"Deodorant B",0
"363",4662,"Deodorant B",0
"364",4663,"Deodorant B",0
"365",4664,"Deodorant B",0
"366",4665,"Deodorant B",0
"367",4666,"Deodorant B",0
"368",4667,"Deodorant B",0
"369",4668,"Deodorant B",0
"370",4669,"Deodorant B",1
"371",4670,"Deodorant B",1
"372",4671,"Deodorant B",0
"373",4672,"Deodorant B",0
"374",4673,"Deodorant B",0
"375",4674,"Deodorant B",0
"376",4675,"Deodorant B",1
"377",4676,"Deodorant B",0
"378",4677,"Deodorant B",0
"379",4678,"Deodorant B",0
"380",4679,"Deodorant B",0
"381",4680,"Deodorant B",0
"382",4681,"Deodorant B",0
"383",4682,"Deodorant B",0
"384",4683,"Deodorant B",0
"385",4684,"Deodorant B",0
"386",4685,"Deodorant B",0
"387",4686,"Deodorant B",0
"388",4687,"Deodorant B",0
"389",4688,"Deodorant B",1
"390",4689,"Deodorant B",0
"391",4690,"Deodorant B",0
"392",4691,"Deodorant B",1
"393",4692,"Deodorant B",0
"394",4693,"Deodorant B",0
"395",4694,"Deodorant B",0
"396",4695,"Deodorant B",0
"397",4696,"Deodorant B",0
"398",4697,"Deodorant B",0
"399",4698,"Deodorant B",0
"400",4699,"Deodorant B",1
"401",4700,"Deodorant B",0
"402",4701,"Deodorant B",0
"403",4702,"Deodorant B",0
"404",4703,"Deodorant B",1
"405",4704,"Deodorant B",0
"406",4705,"Deodorant B",0
"407",4706,"Deodorant B",0
"408",4707,"Deodorant B",0
"409",4708,"Deodorant B",0
"410",4709,"Deodorant B",0
"411",4710,"Deodorant B",0
"412",4711,"Deodorant B",0
"413",4712,"Deodorant B",0
"414",4713,"Deodorant B",0
"415",4714,"Deodorant B",0
"416",4715,"Deodorant B",0
"417",4716,"Deodorant B",0
"418",4717,"Deodorant B",0
"419",4718,"Deodorant B",0
"420",4719,"Deodorant B",0
"421",4720,"Deodorant B",0
"422",4721,"Deodorant B",0
"423",4722,"Deodorant B",0
"424",4723,"Deodorant B",0
"425",4724,"Deodorant B",1
"426",4725,"Deodorant B",0
"427",4726,"Deodorant B",1
"428",4727,"Deodorant B",0
"429",4728,"Deodorant B",0
"430",4729,"Deodorant B",1
"431",4730,"Deodorant B",1
"432",4731,"Deodorant B",0
"433",4732,"Deodorant B",0
"434",4733,"Deodorant B",1
"435",4734,"Deodorant B",0
"436",4735,"Deodorant B",0
"437",4736,"Deodorant B",0
"438",4737,"Deodorant B",0
"439",4738,"Deodorant B",0
"440",4739,"Deodorant B",1
"441",4740,"Deodorant B",0
"442",4741,"Deodorant B",0
"443",4742,"Deodorant B",0
"444",4743,"Deodorant B",0
"445",4744,"Deodorant B",0
"446",4745,"Deodorant B",0
"447",4746,"Deodorant B",0
"448",4747,"Deodorant B",0
"449",4748,"Deodorant B",0
"450",4749,"Deodorant B",0
"451",4750,"Deodorant B",1
"452",4751,"Deodorant B",0
"453",4752,"Deodorant B",1
"454",4753,"Deodorant B",0
"455",4754,"Deodorant B",0
"456",4755,"Deodorant B",0
"457",4756,"Deodorant B",1
"458",4757,"Deodorant B",1
"459",4758,"Deodorant B",0
"460",4759,"Deodorant B",1
"461",4760,"Deodorant B",1
"462",4761,"Deodorant B",0
"463",4762,"Deodorant B",0
"464",4763,"Deodorant B",0
"465",4764,"Deodorant B",0
"466",4765,"Deodorant B",1
"467",4766,"Deodorant B",1
"468",4767,"Deodorant B",0
"469",4768,"Deodorant B",0
"470",4769,"Deodorant B",1
"471",4770,"Deodorant B",1
"472",4771,"Deodorant B",0
"473",4772,"Deodorant B",0
"474",4773,"Deodorant B",0
"475",4774,"Deodorant B",1
"476",4775,"Deodorant B",0
"477",4776,"Deodorant B",0
"478",4777,"Deodorant B",1
"479",4778,"Deodorant B",0
"480",4779,"Deodorant B",1
"481",4780,"Deodorant B",0
"482",4781,"Deodorant B",0
"483",4782,"Deodorant B",0
"484",4783,"Deodorant B",0
"485",4784,"Deodorant B",0
"486",4785,"Deodorant B",0
"487",4786,"Deodorant B",0
"488",4787,"Deodorant B",1
"489",4788,"Deodorant B",0
"490",4789,"Deodorant B",1
"491",4790,"Deodorant B",0
"492",4791,"Deodorant B",0
"493",4792,"Deodorant B",0
"494",4793,"Deodorant B",0
"495",4794,"Deodorant B",1
"496",4795,"Deodorant B",0
"497",4796,"Deodorant B",1
"498",4797,"Deodorant B",0
"499",4798,"Deodorant B",1
"500",4799,"Deodorant B",0
"501",4800,"Deodorant B",0
"502",4801,"Deodorant B",0
"503",4802,"Deodorant B",0
"504",4803,"Deodorant B",0
"505",4804,"Deodorant B",0
"506",4805,"Deodorant B",0
"507",4806,"Deodorant B",0
"508",4807,"Deodorant B",0
"509",4808,"Deodorant B",1
"510",4809,"Deodorant B",0
"511",4810,"Deodorant B",0
"512",4811,"Deodorant B",0
"513",4812,"Deodorant B",0
"514",4813,"Deodorant B",0
"515",4814,"Deodorant B",0
"516",4815,"Deodorant B",0
"517",4816,"Deodorant B",1
"518",4817,"Deodorant B",0
"519",4818,"Deodorant B",0
"520",4819,"Deodorant B",1
"521",4820,"Deodorant B",1
"522",4821,"Deodorant B",0
"523",4822,"Deodorant B",0
"524",4823,"Deodorant B",0
"525",4824,"Deodorant B",0
"526",4825,"Deodorant B",1
"527",4826,"Deodorant B",0
"528",4827,"Deodorant B",0
"529",4828,"Deodorant B",0
"530",4829,"Deodorant B",0
"531",4830,"Deodorant B",0
"532",4831,"Deodorant B",0
"533",4832,"Deodorant B",1
"534",4833,"Deodorant B",1
"535",4834,"Deodorant B",0
"536",4835,"Deodorant B",1
"537",4836,"Deodorant B",0
"538",4837,"Deodorant B",0
"539",4838,"Deodorant B",1
"540",4839,"Deodorant B",0
"541",4840,"Deodorant B",1
"542",4841,"Deodorant B",0
"543",4842,"Deodorant B",0
"544",4843,"Deodorant B",0
"545",4844,"Deodorant B",0
"546",4845,"Deodorant B",0
"547",4846,"Deodorant B",0
"548",4847,"Deodorant B",0
"549",4848,"Deodorant B",1
"550",4849,"Deodorant B",0
"551",4850,"Deodorant B",0
"552",4851,"Deodorant B",0
"553",4852,"Deodorant B",0
"554",4853,"Deodorant B",1
"555",4854,"Deodorant B",0
"556",4855,"Deodorant B",0
"557",4856,"Deodorant B",1
"558",4857,"Deodorant B",1
"559",4858,"Deodorant B",0
"560",4859,"Deodorant B",0
"561",4860,"Deodorant B",0
"562",4861,"Deodorant B",1
"563",4862,"Deodorant B",0
"564",4863,"Deodorant B",0
"565",4864,"Deodorant B",0
"566",4865,"Deodorant B",0
"567",4866,"Deodorant B",1
"568",4867,"Deodorant B",1
"569",4868,"Deodorant B",0
"570",4869,"Deodorant B",0
"571",4870,"Deodorant B",1
"572",4871,"Deodorant B",1
"573",4872,"Deodorant B",0
"574",4873,"Deodorant B",0
"575",4874,"Deodorant B",0
"576",4875,"Deodorant B",1
"577",4876,"Deodorant B",0
"578",4877,"Deodorant B",0
"579",4878,"Deodorant B",1
"580",4879,"Deodorant B",1
"581",4880,"Deodorant B",0
"582",4881,"Deodorant B",0
"583",4882,"Deodorant B",1
"584",4883,"Deodorant B",0
"585",4884,"Deodorant B",1
"586",4885,"Deodorant B",1
"587",4886,"Deodorant B",1
"588",4887,"Deodorant B",0
"589",4888,"Deodorant B",1
"590",4889,"Deodorant B",1
"591",4890,"Deodorant B",0
"592",4891,"Deodorant B",0
"593",4892,"Deodorant B",0
"594",4893,"Deodorant B",0
"595",4894,"Deodorant B",0
"596",4895,"Deodorant B",0
"597",4896,"Deodorant B",1
"598",4897,"Deodorant B",0
"599",4898,"Deodorant B",0
"600",4899,"Deodorant B",0
"601",4900,"Deodorant B",1
"602",4901,"Deodorant B",0
"603",4902,"Deodorant B",0
"604",4903,"Deodorant B",1
"605",4904,"Deodorant B",1
"606",4905,"Deodorant B",0
"607",4906,"Deodorant B",0
"608",4907,"Deodorant B",0
"609",4908,"Deodorant B",0
"610",4909,"Deodorant B",1
"611",4910,"Deodorant B",1
"612",4911,"Deodorant B",0
"613",4912,"Deodorant B",1
"614",4913,"Deodorant B",0
"615",4914,"Deodorant B",1
"616",4915,"Deodorant B",0
"617",4916,"Deodorant B",0
"618",4917,"Deodorant B",0
"619",4918,"Deodorant B",0
"620",4919,"Deodorant B",0
"621",4920,"Deodorant B",0
"622",4921,"Deodorant B",0
"623",4922,"Deodorant B",1
"624",4923,"Deodorant B",0
"625",4924,"Deodorant B",1
"626",4925,"Deodorant B",1
"627",4926,"Deodorant B",0
"628",4927,"Deodorant B",0
"629",4928,"Deodorant B",0
"630",4929,"Deodorant B",1
"631",4930,"Deodorant B",0
"632",4931,"Deodorant B",0
"633",4932,"Deodorant B",0
"634",4933,"Deodorant B",0
"635",4934,"Deodorant B",0
"636",4935,"Deodorant B",0
"637",4936,"Deodorant B",0
"638",4937,"Deodorant B",0
"639",4938,"Deodorant B",1
"640",4939,"Deodorant B",1
"641",4940,"Deodorant B",0
"642",4941,"Deodorant B",1
"643",4942,"Deodorant B",0
"644",4943,"Deodorant B",1
"645",4944,"Deodorant B",0
"646",4945,"Deodorant B",1
"647",4946,"Deodorant B",0
"648",4947,"Deodorant B",0
"649",4948,"Deodorant B",0
"650",4949,"Deodorant B",0
"651",4950,"Deodorant B",0
"652",4951,"Deodorant B",0
"653",4952,"Deodorant B",0
"654",4953,"Deodorant B",0
"655",4954,"Deodorant B",0
"656",4955,"Deodorant B",0
"657",4956,"Deodorant B",0
"658",4957,"Deodorant B",1
"659",4958,"Deodorant B",0
"660",4959,"Deodorant B",0
"661",4960,"Deodorant B",1
"662",4961,"Deodorant B",0
"663",4962,"Deodorant B",0
"664",4963,"Deodorant B",1
"665",4964,"Deodorant B",0
"666",4965,"Deodorant B",0
"667",4966,"Deodorant B",1
"668",4967,"Deodorant B",0
"669",4968,"Deodorant B",1
"670",4969,"Deodorant B",0
"671",4970,"Deodorant B",0
"672",4971,"Deodorant B",0
"673",4972,"Deodorant B",0
"674",4973,"Deodorant B",0
"675",4974,"Deodorant B",0
"676",4975,"Deodorant B",0
"677",4976,"Deodorant B",0
"678",4977,"Deodorant B",1
"679",4978,"Deodorant B",0
"680",4979,"Deodorant B",1
"681",4980,"Deodorant B",0
"682",4981,"Deodorant B",0
"683",4982,"Deodorant B",0
"684",4983,"Deodorant B",0
"685",4984,"Deodorant B",0
"686",4985,"Deodorant B",0
"687",4986,"Deodorant B",0
"688",4987,"Deodorant B",0
"689",4988,"Deodorant B",0
"690",4989,"Deodorant B",0
"691",4990,"Deodorant B",0
"692",4991,"Deodorant B",0
"693",4992,"Deodorant B",0
"694",4993,"Deodorant B",1
"695",4994,"Deodorant B",1
"696",4995,"Deodorant B",0
"697",4996,"Deodorant B",0
"698",4997,"Deodorant B",0
"699",4998,"Deodorant B",0
"700",4999,"Deodorant B",0
"701",5000,"Deodorant B",0
"702",5001,"Deodorant B",1
"703",5002,"Deodorant B",0
"704",5003,"Deodorant B",1
"705",5004,"Deodorant B",0
"706",5005,"Deodorant B",0
"707",5006,"Deodorant B",0
"708",5007,"Deodorant B",0
"709",5008,"Deodorant B",0
"710",5009,"Deodorant B",1
"711",5010,"Deodorant B",0
"712",5011,"Deodorant B",0
"713",5012,"Deodorant B",0
"714",5013,"Deodorant B",0
"715",5014,"Deodorant B",0
"716",5015,"Deodorant B",0
"717",5016,"Deodorant B",0
"718",5017,"Deodorant B",0
"719",5018,"Deodorant B",1
"720",5019,"Deodorant B",0
"721",5020,"Deodorant B",1
"722",5021,"Deodorant B",0
"723",5022,"Deodorant B",1
"724",5023,"Deodorant B",0
"725",5024,"Deodorant B",1
"726",5025,"Deodorant B",0
"727",5026,"Deodorant B",1
"728",5027,"Deodorant B",1
"729",5028,"Deodorant B",0
"730",5029,"Deodorant B",0
"731",5030,"Deodorant B",0
"732",5031,"Deodorant B",1
"733",5032,"Deodorant B",0
"734",5033,"Deodorant B",1
"735",5034,"Deodorant B",0
"736",5035,"Deodorant B",0
"737",5036,"Deodorant B",1
"738",5037,"Deodorant B",0
"739",5038,"Deodorant B",0
"740",5039,"Deodorant B",0
"741",5040,"Deodorant B",0
"742",5041,"Deodorant B",0
"743",5042,"Deodorant B",1
"744",5043,"Deodorant B",0
"745",5044,"Deodorant B",0
"746",5045,"Deodorant B",0
"747",5046,"Deodorant B",0
"748",5047,"Deodorant B",0
"749",5048,"Deodorant B",0
"750",5049,"Deodorant B",0
"751",5050,"Deodorant B",0
"752",5051,"Deodorant B",0
"753",5052,"Deodorant B",1
"754",5053,"Deodorant B",1
"755",5054,"Deodorant B",0
"756",5055,"Deodorant B",0
"757",5056,"Deodorant B",1
"758",5057,"Deodorant B",0
"759",5058,"Deodorant B",0
"760",5059,"Deodorant B",0
"761",5060,"Deodorant B",0
"762",5061,"Deodorant B",0
"763",5062,"Deodorant B",0
"764",5063,"Deodorant B",0
"765",5064,"Deodorant B",0
"766",5065,"Deodorant B",0
"767",5066,"Deodorant B",0
"768",5067,"Deodorant B",0
"769",5068,"Deodorant B",0
"770",5069,"Deodorant B",0
"771",5070,"Deodorant B",0
"772",5071,"Deodorant B",0
"773",5072,"Deodorant B",0
"774",5073,"Deodorant B",0
"775",5074,"Deodorant B",1
"776",5075,"Deodorant B",1
"777",5076,"Deodorant B",0
"778",5077,"Deodorant B",0
"779",5078,"Deodorant B",0
"780",5079,"Deodorant B",0
"781",5080,"Deodorant B",0
"782",5081,"Deodorant B",1
"783",5082,"Deodorant B",1
"784",5083,"Deodorant B",0
"785",5084,"Deodorant B",1
"786",5085,"Deodorant B",1
"787",5086,"Deodorant B",0
"788",5087,"Deodorant B",1
"789",5088,"Deodorant B",0
"790",5089,"Deodorant B",0
"791",5090,"Deodorant B",0
"792",5091,"Deodorant B",0
"793",5092,"Deodorant B",0
"794",5093,"Deodorant B",0
"795",5094,"Deodorant B",0
"796",5095,"Deodorant B",0
"797",5096,"Deodorant B",0
"798",5097,"Deodorant B",0
"799",5098,"Deodorant B",0
"800",5099,"Deodorant B",0
"801",5100,"Deodorant B",0
"802",5101,"Deodorant B",1
"803",5102,"Deodorant B",0
"804",5103,"Deodorant B",0
"805",5104,"Deodorant B",0
"806",5105,"Deodorant B",1
"807",5106,"Deodorant B",0
"808",5107,"Deodorant B",1
"809",5108,"Deodorant B",0
"810",5109,"Deodorant B",1
"811",5110,"Deodorant B",0
"812",5111,"Deodorant B",0
"813",5112,"Deodorant B",0
"814",5113,"Deodorant B",0
"815",5114,"Deodorant B",0
"816",5115,"Deodorant B",0
"817",5116,"Deodorant B",0
"818",5117,"Deodorant B",1
"819",5118,"Deodorant B",0
"820",5119,"Deodorant B",0
"821",5120,"Deodorant B",1
"822",5121,"Deodorant B",1
"823",5122,"Deodorant B",1
"824",5123,"Deodorant B",1
"825",5124,"Deodorant B",0
"826",5125,"Deodorant B",0
"827",5126,"Deodorant B",0
"828",5127,"Deodorant B",0
"829",5128,"Deodorant B",0
"830",5129,"Deodorant B",0
"831",5130,"Deodorant B",0
"832",5131,"Deodorant B",0
"833",5132,"Deodorant B",1
"834",5133,"Deodorant B",0
"835",5134,"Deodorant B",0
"836",5135,"Deodorant B",0
"837",5136,"Deodorant B",0
"838",5137,"Deodorant B",1
"839",5138,"Deodorant B",0
"840",5139,"Deodorant B",0
"841",5140,"Deodorant B",1
"842",5141,"Deodorant B",1
"843",5142,"Deodorant B",0
"844",5143,"Deodorant B",0
"845",5144,"Deodorant B",1
"846",5145,"Deodorant B",1
"847",5146,"Deodorant B",1
"848",5147,"Deodorant B",0
"849",5148,"Deodorant B",0
"850",5149,"Deodorant B",1
"851",5150,"Deodorant B",0
"852",5151,"Deodorant B",0
"853",5152,"Deodorant B",0
"854",5153,"Deodorant B",0
"855",5154,"Deodorant B",0
"856",5155,"Deodorant B",0
"857",5156,"Deodorant B",1
"858",5157,"Deodorant B",0
"859",5158,"Deodorant B",1
"860",5159,"Deodorant B",0
"861",5160,"Deodorant B",0
"862",5161,"Deodorant B",0
"863",5162,"Deodorant B",0
"864",5163,"Deodorant B",0
"865",5164,"Deodorant B",0
"866",5165,"Deodorant B",1
"867",5166,"Deodorant B",1
"868",5167,"Deodorant B",0
"869",5168,"Deodorant B",1
"870",5169,"Deodorant B",1
"871",5170,"Deodorant B",0
