Respondent.ID,Product.ID,Product,Instant.Liking,q1_1.personal.opinion.of.this.Deodorant,q2_all.words,q3_1.strength.of.the.Deodorant,q4_1.artificial.chemical,q4_2.attractive,q4_3.bold,q4_4.boring,q4_5.casual,q4_6.cheap,q4_7.clean,q4_8.easy.to.wear,q4_9.elegant,q4_10.feminine,q4_11.for.someone.like.me,q4_12.heavy,q4_13.high.quality,q4_14.long.lasting,q4_15.masculine,q4_16.memorable,q4_17.natural,q4_18.old.fashioned,q4_19.ordinary,q4_20.overpowering,q4_21.sharp,q4_22.sophisticated,q4_23.upscale,q4_24.well.rounded,q5_1.Deodorant.is.addictive,q7,q8.1,q8.2,q8.3,q8.4,q8.5,q8.6,q8.7,q8.8,q8.9,q8.10,q8.11,q8.12,q8.13,q8.14,q8.15,q8.16,q8.17,q8.18,q8.19,q8.20,q9.how.likely.would.you.be.to.purchase.this.Deodorant,q10.prefer.this.Deodorant.or.your.usual.Deodorant,q11.time.of.day.would.this.Deodorant.be.appropriate,q12.which.occasions.would.this.Deodorant.be.appropriate,Q13_Liking.after.30.minutes,q14.Deodorant.overall.on.a.scale.from.1.to.10,ValSegb,s7.involved.in.the.selection.of.the.cosmetic.products,s8.ethnic.background,s9.education,s10.income,s11.marital.status,s12.working.status,s13.8,s13a.h.most.often,s13b.bottles.of.Deodorant.do.you.currently.own
9412,344,Deodorant H,0,7,1,3,3,5,4,1,4,1,4,2,4,5,5,5,4,4,5,4,1,3,4,5,2,3,4,1,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,2,3,2,2,8,2,4,1,3,10,4,1,0,0,3
9413,344,Deodorant H,0,6,0,4,2,4,4,1,4,1,5,5,5,5,3,2,2,2,3,2,4,1,4,5,4,5,4,3,4,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,3,3,2,6,7,7,4,4,4,6,1,1,0.5,0,6
9414,344,Deodorant H,0,6,0,4,3,5,1,4,4,2,5,3,5,5,2,4,5,4,1,5,4,2,2,2,4,3,5,5,2,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,1,4,3,3,2,4,7,3,4,2,2,4,1,1,0,0,6
9415,344,Deodorant H,1,2,2,3,2,5,5,3,1,5,3,4,3,5,3,1,3,5,4,5,2,3,2,3,1,1,2,4,1,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,3,3,3,3,9,2,4,2,3,3,2,1,0,0,1
9416,344,Deodorant H,0,7,1,3,1,3,2,2,5,2,4,4,4,5,1,1,1,5,4,5,4,1,4,5,4,4,3,3,4,0,1,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,3,3,3,4,7,7,4,3,4,6,2,1,0.333333333,0,2
9417,344,Deodorant H,0,6,4,3,3,5,4,5,5,2,5,5,5,2,4,1,4,4,1,3,3,1,1,1,5,4,5,3,5,1,1,0,,,0,0,0,,,,0,1,0,,,,,,0,0,1,4,3,2,6,9,3,4,1,4,2,2,1,0,0,2
9418,344,Deodorant H,1,3,1,3,5,5,4,3,4,1,5,1,3,5,3,5,3,5,1,4,2,1,5,2,3,1,4,4,4,4,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,3,3,2,7,8,2,4,2,5,4,2,1,0,0,2
9419,344,Deodorant H,0,6,0,3,3,1,2,2,2,1,4,5,5,5,5,1,5,5,4,4,1,3,3,5,2,5,1,4,5,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,3,3,2,7,6,5,4,1,3,2,2,1,0,0,5
9420,344,Deodorant H,0,6,2,3,1,3,4,5,5,1,4,5,4,4,2,1,4,4,5,2,1,5,5,1,4,4,3,3,4,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,3,2,3,7,6,7,4,1,3,5,5,1,0,0,4
9421,344,Deodorant H,1,4,2,5,4,5,4,3,5,4,5,3,3,5,3,1,4,3,5,5,2,1,2,1,4,4,3,5,3,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,3,1,3,6,9,1,4,1,3,8,2,1,0.166666667,0,6
9422,344,Deodorant H,0,6,2,4,1,4,4,5,5,1,5,5,4,4,3,1,5,2,1,5,4,1,2,4,4,3,3,2,1,0,0,0,,,0,0,0,,,,1,0,0,,,,,,0,0,4,3,3,2,2,3,7,4,1,3,6,1,1,0,0,2
9423,344,Deodorant H,0,6,0,3,1,3,3,4,3,1,1,5,3,4,5,1,4,5,2,1,4,4,2,1,1,2,2,2,5,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,1,1,3,6,9,2,4,1,2,3,1,1,0.333333333,0,3
9424,344,Deodorant H,0,7,0,4,2,3,5,1,5,3,3,5,3,4,4,3,3,2,2,4,4,2,3,1,3,4,4,4,2,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,1,1,1,5,8,2,4,4,2,4,1,1,0,1,5
9425,344,Deodorant H,0,6,2,3,3,2,4,1,2,2,4,1,5,5,2,2,4,4,2,4,4,2,3,2,5,4,5,3,1,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,1,1,3,7,10,5,4,1,4,4,2,1,0,0,2
9426,344,Deodorant H,0,5,3,3,5,4,4,4,4,5,5,5,4,5,3,3,2,4,2,5,3,2,5,2,4,4,3,4,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,3,1,4,10,3,4,1,4,6,2,1,0.2,0,6
9427,344,Deodorant H,0,7,3,4,2,4,4,2,4,1,5,4,3,1,5,1,3,4,2,5,1,2,1,1,1,5,2,2,2,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,3,3,6,10,7,4,1,3,4,1,1,0,1,6
9428,344,Deodorant H,0,6,3,4,5,3,5,2,5,2,2,5,3,3,2,5,5,4,5,5,5,2,2,3,3,4,1,2,2,2,0,0,,,0,0,0,,,,0,1,0,,,,,,0,0,1,1,2,1,6,7,2,4,2,4,9,1,2,0.25,0,4
9429,344,Deodorant H,0,6,0,3,3,5,5,5,5,1,2,5,4,4,5,3,5,4,1,2,2,3,4,5,5,1,2,4,3,1,0,1,,,1,0,0,,,,0,0,0,,,,,,0,0,5,1,3,1,5,7,3,4,1,3,3,1,1,0,1,3
9430,344,Deodorant H,0,6,4,3,2,3,3,2,5,2,4,3,3,3,5,4,5,5,1,4,5,1,3,3,1,4,5,2,2,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,3,1,7,9,6,4,3,3,6,1,1,0,0,2
9431,344,Deodorant H,1,1,3,3,1,4,5,1,3,2,4,4,4,5,5,4,2,4,1,4,4,2,3,5,3,4,1,1,1,1,1,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,2,2,7,8,2,4,1,4,4,2,1,0,1,3
9432,344,Deodorant H,0,6,0,3,1,3,3,1,4,1,4,5,5,3,4,4,5,3,3,4,4,4,3,1,5,4,4,4,5,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,4,1,3,7,7,6,4,1,4,3,4,2,0.2,0,1
9433,344,Deodorant H,0,5,0,3,5,5,4,1,4,2,5,1,3,5,1,3,3,3,1,4,4,1,2,3,3,5,4,4,5,1,0,0,,,1,0,0,,,,0,0,0,,,,,,0,0,5,2,3,2,6,7,7,4,1,3,4,1,1,0,0,1
9434,344,Deodorant H,0,6,1,3,3,3,5,2,3,2,5,4,5,5,4,5,4,4,4,4,4,2,5,4,2,2,2,3,1,3,0,0,,,0,0,0,,,,0,1,0,,,,,,0,1,5,5,3,3,2,6,5,4,1,2,10,2,1,0,0,5
9435,344,Deodorant H,0,7,1,3,2,5,1,2,4,1,2,2,5,2,3,5,5,4,1,5,5,3,2,3,5,4,1,5,1,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,1,3,3,3,10,2,4,1,5,3,1,1,0,0,2
9436,344,Deodorant H,0,6,1,4,3,5,5,2,4,2,4,1,5,5,5,3,3,5,3,2,3,5,2,3,5,1,1,4,2,3,0,0,,,0,0,0,,,,1,0,0,,,,,,0,0,3,2,2,3,4,1,2,4,1,5,2,1,2,0,0,5
9437,344,Deodorant H,0,6,1,3,2,2,5,3,3,2,4,5,4,5,1,2,4,5,2,2,5,2,2,5,4,3,4,2,4,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,4,3,1,7,6,1,4,3,3,5,2,4,0.333333333,0,1
9438,344,Deodorant H,0,5,0,4,5,3,2,2,5,4,4,5,5,5,5,2,4,4,1,2,5,4,3,4,3,5,3,5,4,3,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,1,1,3,7,8,3,4,1,3,3,2,1,0,0,5
9439,344,Deodorant H,1,1,0,3,4,5,3,1,1,2,5,5,2,5,5,1,4,3,4,5,1,2,3,1,1,5,5,5,3,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,1,2,6,3,6,4,1,3,4,1,1,0.25,0,3
9440,344,Deodorant H,1,2,2,3,5,4,5,1,4,2,4,5,5,5,4,4,5,5,3,4,4,2,3,4,5,4,1,5,3,1,0,0,,,0,0,1,,,,0,0,0,,,,,,0,0,5,1,1,3,5,10,2,4,1,4,6,1,1,0,0,2
9441,344,Deodorant H,0,5,0,3,3,4,4,1,3,1,5,5,5,3,3,1,3,2,2,4,4,1,3,5,2,3,3,4,4,1,0,0,,,1,0,0,,,,0,0,1,,,,,,0,0,4,2,2,3,5,7,3,4,1,4,6,2,1,0,0,2
9442,344,Deodorant H,0,6,1,4,3,3,4,2,5,2,4,5,1,4,1,2,5,5,1,5,4,4,1,3,2,3,5,4,5,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,1,4,4,2,3,5,10,2,4,1,3,5,1,1,0,0,2
9443,344,Deodorant H,0,6,0,1,1,4,2,2,3,5,3,5,5,3,5,1,3,5,1,5,3,5,3,1,5,4,1,5,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,4,2,3,5,2,5,4,2,4,8,3,2,0,0,2
9444,344,Deodorant H,0,6,2,3,1,4,4,2,4,1,5,3,1,1,5,4,4,5,1,3,3,1,1,2,5,5,2,4,3,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,1,3,3,3,2,6,10,2,4,3,5,10,1,2,0,0,2
9445,344,Deodorant H,0,7,0,3,1,5,3,3,5,3,5,4,4,5,5,2,4,5,2,5,1,1,2,2,2,5,2,5,2,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,3,1,3,7,8,4,4,1,2,3,1,4,0.5,0,3
9446,344,Deodorant H,0,5,0,3,2,3,4,4,4,1,5,4,4,5,3,2,3,5,5,4,3,2,4,1,2,4,3,4,1,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,1,3,1,4,10,1,4,2,2,4,2,6,0,0,3
9447,344,Deodorant H,0,6,2,3,2,4,3,1,5,1,3,1,3,5,4,2,1,3,4,5,3,3,5,2,4,5,5,2,1,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,5,2,3,4,2,3,4,1,2,4,2,4,0,1,1
9448,344,Deodorant H,0,6,1,4,2,2,5,1,5,4,4,2,4,3,3,3,5,5,1,5,4,2,2,1,3,5,4,2,4,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,1,1,3,3,7,2,4,1,3,2,1,2,0.25,0,2
9449,344,Deodorant H,1,4,2,3,2,4,3,3,4,1,3,1,4,3,5,5,5,5,5,5,4,3,2,1,4,4,3,5,1,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,1,2,2,7,2,2,4,2,4,2,1,1,0,0,3
9450,344,Deodorant H,1,4,1,3,2,2,3,2,3,4,5,3,4,4,3,5,1,5,1,3,4,3,3,5,3,1,3,4,5,2,0,0,,,0,0,0,,,,1,0,0,,,,,,0,0,5,3,3,1,3,7,2,4,3,5,3,1,2,0.333333333,0,3
9451,344,Deodorant H,1,1,1,5,1,3,3,2,3,1,5,4,3,5,5,1,3,3,1,4,4,3,3,1,5,3,3,3,3,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,3,3,1,5,7,2,4,3,3,6,2,1,1,0,2
9452,344,Deodorant H,0,7,1,4,3,4,5,1,3,3,5,5,2,3,4,1,1,5,3,5,5,2,2,4,4,5,2,3,1,1,0,0,,,1,0,0,,,,0,0,0,,,,,,0,0,4,1,3,3,6,10,2,4,1,3,5,1,2,0,0,3
9453,344,Deodorant H,1,4,1,3,1,4,2,5,5,3,4,4,4,4,3,5,4,4,3,2,2,2,1,2,1,5,1,1,3,-1,0,0,,,0,0,1,,,,0,0,0,,,,,,0,0,4,1,3,3,4,5,2,4,1,3,2,2,1,0,1,2
9454,344,Deodorant H,0,7,2,3,1,4,5,1,2,5,5,5,3,5,1,3,3,5,2,4,4,2,2,3,4,3,3,5,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,1,3,2,1,9,4,4,1,3,7,2,1,0,0,5
9455,344,Deodorant H,0,5,0,3,1,2,5,2,3,3,4,5,2,4,3,5,3,4,2,4,4,4,3,2,3,3,1,4,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,4,3,3,7,6,1,4,1,4,3,2,1,0,0,2
9456,344,Deodorant H,0,5,2,3,4,3,3,1,1,1,4,1,4,5,4,1,3,5,1,4,4,2,2,2,5,3,4,5,3,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,1,2,3,6,9,7,4,2,3,10,2,1,0.25,0,6
9457,344,Deodorant H,0,5,1,3,3,4,4,1,3,4,3,5,2,4,4,1,5,5,1,4,4,4,2,4,1,5,4,4,3,2,0,0,,,0,0,0,,,,0,1,0,,,,,,0,0,2,3,1,3,3,6,2,4,1,3,10,1,1,0,0,3
9458,344,Deodorant H,0,6,1,4,3,3,4,1,3,1,4,4,5,5,5,3,1,1,4,2,3,3,5,5,4,4,5,3,2,1,0,1,,,0,0,0,,,,0,0,0,,,,,,0,0,4,3,2,2,2,9,2,4,1,2,5,2,1,0,0,2
9459,344,Deodorant H,0,5,0,5,2,1,3,4,3,2,4,3,2,5,3,1,1,4,3,2,2,4,5,4,4,4,4,4,4,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,4,3,3,4,6,1,4,1,4,4,2,1,0.5,0,5
9460,344,Deodorant H,1,4,0,5,5,5,2,2,4,3,4,5,4,5,5,3,5,4,5,5,4,3,2,5,4,5,2,3,4,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,1,3,3,5,8,2,4,1,4,5,1,3,0.333333333,0,3
9461,344,Deodorant H,1,3,1,3,1,5,5,5,4,4,3,5,5,4,5,5,3,5,4,3,5,4,4,4,3,5,3,5,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,5,2,1,5,7,2,4,3,4,2,2,1,0,1,2
9462,344,Deodorant H,0,5,1,3,4,4,1,1,4,4,2,5,5,5,5,2,3,5,2,4,5,5,4,5,5,4,3,3,5,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,1,3,3,6,9,5,4,1,4,5,2,2,0,0,1
9463,344,Deodorant H,0,7,3,2,2,3,5,5,4,5,5,4,1,3,5,2,1,5,1,4,4,3,4,5,2,5,4,4,1,-1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,3,3,1,6,5,2,4,1,3,3,1,5,0,0,2
9464,344,Deodorant H,0,6,1,4,1,2,5,3,3,1,5,1,5,4,4,5,5,4,1,4,4,3,1,3,5,4,1,4,4,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,2,1,2,10,3,4,1,4,2,2,3,0,1,5
9465,344,Deodorant H,0,6,1,3,3,5,4,2,1,1,3,3,5,4,5,3,4,3,1,5,3,1,1,3,1,3,5,5,1,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,5,3,3,6,8,3,4,1,3,4,3,1,0,0,1
9466,344,Deodorant H,0,6,3,3,3,3,3,1,3,2,5,5,4,5,1,1,5,4,3,5,4,2,2,2,4,5,4,4,4,-2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,3,3,1,3,6,5,4,1,2,5,1,1,0,0,2
9467,344,Deodorant H,0,6,2,3,3,3,5,2,3,3,4,4,4,4,1,4,3,3,3,2,1,4,1,2,2,4,5,3,4,2,1,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,2,1,3,7,9,2,4,1,2,6,2,1,0.125,0,2
9468,344,Deodorant H,0,7,0,3,1,4,1,2,2,1,1,4,5,4,3,1,5,5,2,5,4,5,3,3,2,3,2,5,4,0,0,0,,,0,1,0,,,,0,0,0,,,,,,0,0,5,3,2,3,6,6,7,4,1,3,6,1,1,0,0,1
9469,344,Deodorant H,0,5,1,3,5,3,2,1,5,2,5,2,4,4,3,5,4,5,1,5,3,3,2,1,4,4,3,4,5,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,1,5,3,3,6,5,4,4,1,3,3,2,4,0,0,5
9470,344,Deodorant H,0,5,2,3,5,5,5,4,2,1,4,1,4,5,1,2,4,4,1,3,2,1,3,2,4,4,4,4,5,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,3,2,3,1,8,2,4,1,4,4,1,1,0,0,1
9471,344,Deodorant H,0,5,1,3,1,4,3,4,2,2,5,5,3,4,4,5,4,3,3,5,2,2,1,3,2,3,3,4,4,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,2,1,3,1,8,7,4,1,4,3,2,2,0,0,6
9472,344,Deodorant H,0,5,2,3,1,5,1,1,2,3,5,3,1,1,4,2,1,4,1,1,4,2,2,1,4,5,2,3,5,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,5,3,2,6,7,2,4,1,5,5,2,1,0,0,1
9473,344,Deodorant H,0,6,0,3,3,2,4,2,4,2,3,5,4,5,5,2,1,5,1,2,2,3,2,1,4,5,1,2,4,4,0,0,,,0,0,0,,,,0,1,0,,,,,,0,0,5,4,3,2,6,10,3,4,1,2,5,2,2,0,0,4
9474,344,Deodorant H,1,4,1,4,4,3,1,1,4,2,4,1,2,5,3,1,4,4,2,1,4,4,3,1,2,4,5,5,4,0,0,0,,,0,0,0,,,,0,1,0,,,,,,0,0,4,1,3,3,3,5,3,4,1,3,3,1,1,0,1,3
9475,344,Deodorant H,1,2,1,5,3,5,5,2,3,1,3,4,3,5,2,1,4,4,2,1,4,3,5,2,1,5,4,3,3,2,0,0,,,0,0,0,,,,0,0,1,,,,,,0,0,5,5,2,3,7,8,7,4,2,5,2,1,1,0,0,4
9476,344,Deodorant H,1,4,0,4,1,4,4,1,5,3,4,5,3,5,5,3,3,4,1,3,5,1,5,1,4,2,5,1,4,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,3,2,2,5,7,1,4,3,3,2,2,2,0,0,3
9477,344,Deodorant H,0,7,1,3,2,5,4,5,2,1,5,1,5,5,3,3,5,4,3,4,2,3,2,2,4,4,5,4,5,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,1,3,3,5,3,5,4,1,3,6,2,1,0,1,2
9478,344,Deodorant H,1,3,1,3,2,1,5,1,2,2,4,5,5,5,3,3,4,4,5,4,4,3,2,5,1,4,5,5,2,1,1,0,,,0,0,0,,,,0,0,0,,,,,,0,1,4,5,1,3,5,9,7,4,1,4,3,2,3,0.25,0,4
9479,344,Deodorant H,1,4,1,1,1,3,5,2,2,5,4,5,5,3,4,2,3,4,1,4,3,1,4,4,5,3,5,4,4,-1,0,0,,,0,0,0,,,,0,0,0,,,,,,1,1,5,3,3,3,6,9,7,4,1,2,7,1,1,0.2,1,2
9480,344,Deodorant H,0,6,1,3,2,5,3,2,4,5,1,4,4,1,1,1,4,3,5,4,2,1,3,5,3,3,1,4,4,1,0,0,,,1,0,0,,,,0,0,0,,,,,,0,0,5,1,3,1,6,3,5,4,1,3,3,1,1,0,0,2
9481,344,Deodorant H,1,4,1,3,1,5,5,4,4,3,4,5,4,2,5,1,4,4,1,2,5,4,2,3,3,4,5,2,4,5,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,1,2,3,4,6,2,4,1,3,4,2,1,0,0,4
9482,344,Deodorant H,0,6,3,3,2,4,4,4,5,2,3,1,3,5,4,2,1,4,4,4,4,5,3,4,5,5,1,3,3,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,2,3,2,6,8,2,4,1,2,5,2,4,0,1,2
9483,344,Deodorant H,0,5,1,3,1,3,5,2,1,3,2,1,1,4,5,5,3,5,3,2,2,1,2,2,5,2,5,4,5,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,1,2,2,6,6,3,4,4,5,3,1,1,0,0,2
9484,344,Deodorant H,0,6,2,3,1,5,5,3,2,4,5,5,4,5,1,2,3,4,1,4,3,2,2,1,1,4,4,5,4,0,0,0,,,0,1,0,,,,0,0,0,,,,,,0,0,5,1,2,3,6,10,5,4,1,3,4,1,3,0,0,2
9485,344,Deodorant H,0,5,1,3,2,3,4,1,3,4,5,4,2,4,3,5,1,2,3,5,1,4,5,5,1,3,5,4,2,4,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,1,2,3,2,9,4,4,1,3,3,2,1,0,0,1
9486,344,Deodorant H,0,6,0,3,2,2,5,1,4,4,1,5,4,5,4,2,4,1,1,3,4,5,3,3,3,3,4,5,5,1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,4,3,3,1,6,1,4,1,2,5,1,1,0,0,2
9487,344,Deodorant H,0,5,1,4,2,5,3,2,1,1,4,3,2,5,5,1,4,5,2,3,4,2,4,1,1,4,3,3,2,0,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,3,1,2,1,5,9,7,4,1,3,5,2,1,0.166666667,0,6
9488,344,Deodorant H,0,6,1,3,3,4,3,3,3,3,2,5,1,4,5,5,4,4,5,5,4,3,3,5,3,4,3,4,4,0,0,0,,,1,0,0,,,,0,0,0,,,,,,0,0,1,3,3,3,5,5,2,4,1,6,10,2,1,0,0,3
9489,344,Deodorant H,0,6,0,4,2,5,2,1,5,2,5,5,2,3,1,4,5,5,3,3,3,5,2,3,4,4,4,5,4,3,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,2,3,1,5,10,3,4,1,5,8,3,1,0,1,2
9490,344,Deodorant H,1,3,0,3,1,5,5,1,4,1,4,1,5,4,5,3,5,3,1,3,5,5,3,2,4,3,5,4,4,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,4,1,2,1,7,8,5,4,4,3,5,2,1,0,1,1
9491,344,Deodorant H,0,6,2,3,2,5,3,3,4,1,3,3,5,5,5,4,2,5,3,4,1,5,3,2,5,4,1,4,2,2,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,2,2,3,3,2,3,3,4,1,4,4,2,1,0,0,1
9492,344,Deodorant H,0,5,0,4,4,5,4,2,2,1,5,5,4,5,2,1,4,4,1,5,1,1,4,1,4,3,5,4,3,-1,0,0,,,0,0,0,,,,0,0,0,,,,,,0,0,5,1,1,3,6,5,3,4,1,4,3,1,1,0,0,1
